municipio,region,tipo_cultivo,etapa_cultivo,temperatura,humedad_ambiental,probabilidad_lluvia,lluvia_acumulada,velocidad_viento,radiacion_uv,humedad_suelo,tipo_suelo,ultimo_riego,dias_desde_siembra,historial_plagas,temporada_ano,altitud_aproximada,requiere_riego,riesgo_plaga,riesgo_climatico,cultivo_recomendado_zona,prioridad_alerta,recomendacion_agricola
Xalapa,Capital,Aguacate,crecimiento,17.7,75.1,28.6,19.3,16.2,5.1,45.51,franco,6,54,alto,seca,1420,no,alto,bajo,Aguacate,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Cilantro,crecimiento,17.7,75.1,28.6,19.3,16.2,5.1,45.51,franco,2,54,alto,seca,1420,no,alto,bajo,Cilantro,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Acelga,crecimiento,17.7,75.1,28.6,19.3,16.2,5.1,45.51,franco,3,54,alto,seca,1420,no,alto,bajo,Acelga,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Zanahoria,crecimiento,17.7,75.1,28.6,19.3,16.2,5.1,45.51,arenoso_franco,4,54,alto,seca,1420,no,alto,bajo,Zanahoria,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Cafe,crecimiento,20.0,67.9,18.5,67.2,27.4,9.1,51.61,franco_humifero,5,72,alto,seca,1420,si,alto,bajo,Cafe,alta,Regar por la manana y verificar humedad del suelo.
Xalapa,Capital,Tomate,crecimiento,20.0,67.9,18.5,67.2,27.4,9.1,51.61,franco,2,72,alto,seca,1420,no,alto,bajo,Tomate,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Lechuga,crecimiento,20.0,67.9,18.5,67.2,27.4,9.1,51.61,franco,1,72,alto,seca,1420,no,alto,bajo,Lechuga,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Papa,crecimiento,20.0,67.9,18.5,67.2,27.4,9.1,51.61,arenoso_franco,4,72,alto,seca,1420,si,alto,bajo,Papa,alta,Regar por la manana y verificar humedad del suelo.
Xalapa,Capital,Aguacate,crecimiento,20.0,67.9,18.5,67.2,27.4,9.1,51.61,franco,5,72,alto,seca,1420,si,alto,bajo,Aguacate,alta,Regar por la manana y verificar humedad del suelo.
Xalapa,Capital,Cilantro,crecimiento,20.0,67.9,18.5,67.2,27.4,9.1,51.61,franco,1,72,alto,seca,1420,no,alto,bajo,Cilantro,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Acelga,crecimiento,20.0,67.9,18.5,67.2,27.4,9.1,51.61,franco,2,72,alto,seca,1420,no,alto,bajo,Acelga,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Zanahoria,crecimiento,20.0,67.9,18.5,67.2,27.4,9.1,51.61,arenoso_franco,3,72,alto,seca,1420,no,alto,bajo,Zanahoria,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Cafe,crecimiento,21.7,84.8,93.9,183.5,28.7,8.0,86.46,franco_humifero,4,90,alto,lluvias,1420,no,alto,bajo,Cafe,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Tomate,crecimiento,21.7,84.8,93.9,183.5,28.7,8.0,86.46,franco,1,90,alto,lluvias,1420,no,alto,bajo,Tomate,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Lechuga,crecimiento,21.7,84.8,93.9,183.5,28.7,8.0,86.46,franco,1,90,alto,lluvias,1420,no,alto,bajo,Lechuga,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Papa,crecimiento,21.7,84.8,93.9,183.5,28.7,8.0,86.46,arenoso_franco,3,90,alto,lluvias,1420,no,alto,bajo,Papa,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Aguacate,crecimiento,21.7,84.8,93.9,183.5,28.7,8.0,86.46,franco,4,90,alto,lluvias,1420,no,alto,bajo,Aguacate,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Cilantro,crecimiento,21.7,84.8,93.9,183.5,28.7,8.0,86.46,franco,1,90,alto,lluvias,1420,no,alto,bajo,Cilantro,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Acelga,crecimiento,21.7,84.8,93.9,183.5,28.7,8.0,86.46,franco,1,90,alto,lluvias,1420,no,alto,bajo,Acelga,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Zanahoria,crecimiento,21.7,84.8,93.9,183.5,28.7,8.0,86.46,arenoso_franco,2,90,alto,lluvias,1420,no,alto,bajo,Zanahoria,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Cafe,floracion,20.7,83.3,56.8,211.3,10.4,5.9,90.94,franco_humifero,4,108,alto,lluvias,1420,no,alto,bajo,Cafe,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Tomate,floracion,20.7,83.3,56.8,211.3,10.4,5.9,90.94,franco,1,108,alto,lluvias,1420,no,alto,bajo,Tomate,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Lechuga,floracion,20.7,83.3,56.8,211.3,10.4,5.9,90.94,franco,1,108,alto,lluvias,1420,no,alto,bajo,Lechuga,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Papa,floracion,20.7,83.3,56.8,211.3,10.4,5.9,90.94,arenoso_franco,3,108,alto,lluvias,1420,no,alto,bajo,Papa,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Aguacate,floracion,20.7,83.3,56.8,211.3,10.4,5.9,90.94,franco,4,108,alto,lluvias,1420,no,alto,bajo,Aguacate,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Cilantro,floracion,20.7,83.3,56.8,211.3,10.4,5.9,90.94,franco,1,108,alto,lluvias,1420,no,alto,bajo,Cilantro,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Acelga,floracion,20.7,83.3,56.8,211.3,10.4,5.9,90.94,franco,1,108,alto,lluvias,1420,no,alto,bajo,Acelga,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Zanahoria,floracion,20.7,83.3,56.8,211.3,10.4,5.9,90.94,arenoso_franco,2,108,alto,lluvias,1420,no,alto,bajo,Zanahoria,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Cafe,floracion,20.5,84.7,69.6,199.9,23.6,8.3,89.38,franco_humifero,4,126,alto,lluvias,1420,no,alto,bajo,Cafe,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Tomate,floracion,20.5,84.7,69.6,199.9,23.6,8.3,89.38,franco,1,126,alto,lluvias,1420,no,alto,bajo,Tomate,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Lechuga,floracion,20.5,84.7,69.6,199.9,23.6,8.3,89.38,franco,1,126,alto,lluvias,1420,no,alto,bajo,Lechuga,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Papa,floracion,20.5,84.7,69.6,199.9,23.6,8.3,89.38,arenoso_franco,3,126,alto,lluvias,1420,no,alto,bajo,Papa,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Aguacate,floracion,20.5,84.7,69.6,199.9,23.6,8.3,89.38,franco,4,126,alto,lluvias,1420,no,alto,bajo,Aguacate,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Cilantro,floracion,20.5,84.7,69.6,199.9,23.6,8.3,89.38,franco,1,126,alto,lluvias,1420,no,alto,bajo,Cilantro,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Acelga,floracion,20.5,84.7,69.6,199.9,23.6,8.3,89.38,franco,1,126,alto,lluvias,1420,no,alto,bajo,Acelga,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Zanahoria,floracion,20.5,84.7,69.6,199.9,23.6,8.3,89.38,arenoso_franco,2,126,alto,lluvias,1420,no,alto,bajo,Zanahoria,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Cafe,fructificacion,21.1,82.6,84.2,123.2,21.4,8.8,74.84,franco_humifero,4,144,alto,lluvias,1420,no,alto,bajo,Cafe,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Tomate,fructificacion,21.1,82.6,84.2,123.2,21.4,8.8,74.84,franco,1,144,alto,lluvias,1420,no,alto,bajo,Tomate,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Lechuga,fructificacion,21.1,82.6,84.2,123.2,21.4,8.8,74.84,franco,1,144,alto,lluvias,1420,no,alto,bajo,Lechuga,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Papa,fructificacion,21.1,82.6,84.2,123.2,21.4,8.8,74.84,arenoso_franco,3,144,alto,lluvias,1420,no,alto,bajo,Papa,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Aguacate,fructificacion,21.1,82.6,84.2,123.2,21.4,8.8,74.84,franco,4,144,alto,lluvias,1420,no,alto,bajo,Aguacate,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Cilantro,fructificacion,21.1,82.6,84.2,123.2,21.4,8.8,74.84,franco,1,144,alto,lluvias,1420,no,alto,bajo,Cilantro,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Acelga,fructificacion,21.1,82.6,84.2,123.2,21.4,8.8,74.84,franco,1,144,alto,lluvias,1420,no,alto,bajo,Acelga,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Zanahoria,fructificacion,21.1,82.6,84.2,123.2,21.4,8.8,74.84,arenoso_franco,2,144,alto,lluvias,1420,no,alto,bajo,Zanahoria,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Cafe,siembra,17.8,83.3,86.0,234.1,13.1,10.6,92.0,franco_humifero,4,162,alto,lluvias,1420,no,alto,bajo,Cafe,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Tomate,siembra,17.8,83.3,86.0,234.1,13.1,10.6,92.0,franco,1,162,alto,lluvias,1420,no,alto,bajo,Tomate,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Lechuga,siembra,17.8,83.3,86.0,234.1,13.1,10.6,92.0,franco,1,162,alto,lluvias,1420,no,alto,bajo,Lechuga,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Papa,siembra,17.8,83.3,86.0,234.1,13.1,10.6,92.0,arenoso_franco,3,162,alto,lluvias,1420,no,alto,bajo,Papa,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Aguacate,siembra,17.8,83.3,86.0,234.1,13.1,10.6,92.0,franco,4,162,alto,lluvias,1420,no,alto,bajo,Aguacate,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Cilantro,siembra,17.8,83.3,86.0,234.1,13.1,10.6,92.0,franco,1,162,alto,lluvias,1420,no,alto,bajo,Cilantro,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Acelga,siembra,17.8,83.3,86.0,234.1,13.1,10.6,92.0,franco,1,162,alto,lluvias,1420,no,alto,bajo,Acelga,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Zanahoria,siembra,17.8,83.3,86.0,234.1,13.1,10.6,92.0,arenoso_franco,2,162,alto,lluvias,1420,no,alto,bajo,Zanahoria,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Cafe,siembra,19.1,87.6,67.6,239.6,14.4,5.7,92.0,franco_humifero,4,180,alto,lluvias,1420,no,alto,bajo,Cafe,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Tomate,siembra,19.1,87.6,67.6,239.6,14.4,5.7,92.0,franco,1,180,alto,lluvias,1420,no,alto,bajo,Tomate,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Lechuga,siembra,19.1,87.6,67.6,239.6,14.4,5.7,92.0,franco,1,180,alto,lluvias,1420,no,alto,bajo,Lechuga,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Papa,siembra,19.1,87.6,67.6,239.6,14.4,5.7,92.0,arenoso_franco,3,180,alto,lluvias,1420,no,alto,bajo,Papa,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Aguacate,siembra,19.1,87.6,67.6,239.6,14.4,5.7,92.0,franco,4,180,alto,lluvias,1420,no,alto,bajo,Aguacate,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Cilantro,siembra,19.1,87.6,67.6,239.6,14.4,5.7,92.0,franco,1,180,alto,lluvias,1420,no,alto,bajo,Cilantro,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Acelga,siembra,19.1,87.6,67.6,239.6,14.4,5.7,92.0,franco,1,180,alto,lluvias,1420,no,alto,bajo,Acelga,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Zanahoria,siembra,19.1,87.6,67.6,239.6,14.4,5.7,92.0,arenoso_franco,2,180,alto,lluvias,1420,no,alto,bajo,Zanahoria,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Cafe,siembra,18.4,72.8,15.5,41.5,31.9,5.5,48.7,franco_humifero,5,198,alto,seca,1420,no,alto,bajo,Cafe,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Tomate,siembra,18.4,72.8,15.5,41.5,31.9,5.5,48.7,franco,2,198,alto,seca,1420,no,alto,bajo,Tomate,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Lechuga,siembra,18.4,72.8,15.5,41.5,31.9,5.5,48.7,franco,1,198,alto,seca,1420,no,alto,bajo,Lechuga,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Papa,siembra,18.4,72.8,15.5,41.5,31.9,5.5,48.7,arenoso_franco,4,198,alto,seca,1420,no,alto,bajo,Papa,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Aguacate,siembra,18.4,72.8,15.5,41.5,31.9,5.5,48.7,franco,6,198,alto,seca,1420,no,alto,bajo,Aguacate,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Cilantro,siembra,18.4,72.8,15.5,41.5,31.9,5.5,48.7,franco,1,198,alto,seca,1420,no,alto,bajo,Cilantro,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Acelga,siembra,18.4,72.8,15.5,41.5,31.9,5.5,48.7,franco,2,198,alto,seca,1420,no,alto,bajo,Acelga,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Zanahoria,siembra,18.4,72.8,15.5,41.5,31.9,5.5,48.7,arenoso_franco,3,198,alto,seca,1420,no,alto,bajo,Zanahoria,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Cafe,siembra,17.5,68.1,6.9,10.9,9.5,4.9,41.55,franco_humifero,6,216,alto,seca,1420,si,alto,bajo,Cafe,alta,Regar por la manana y verificar humedad del suelo.
Xalapa,Capital,Tomate,siembra,17.5,68.1,6.9,10.9,9.5,4.9,41.55,franco,3,216,alto,seca,1420,no,alto,bajo,Tomate,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Lechuga,siembra,17.5,68.1,6.9,10.9,9.5,4.9,41.55,franco,2,216,alto,seca,1420,no,alto,bajo,Lechuga,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Papa,siembra,17.5,68.1,6.9,10.9,9.5,4.9,41.55,arenoso_franco,5,216,alto,seca,1420,no,alto,bajo,Papa,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Aguacate,siembra,17.5,68.1,6.9,10.9,9.5,4.9,41.55,franco,6,216,alto,seca,1420,si,alto,bajo,Aguacate,alta,Regar por la manana y verificar humedad del suelo.
Xalapa,Capital,Cilantro,siembra,17.5,68.1,6.9,10.9,9.5,4.9,41.55,franco,2,216,alto,seca,1420,no,alto,bajo,Cilantro,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Acelga,siembra,17.5,68.1,6.9,10.9,9.5,4.9,41.55,franco,3,216,alto,seca,1420,no,alto,bajo,Acelga,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Zanahoria,siembra,17.5,68.1,6.9,10.9,9.5,4.9,41.55,arenoso_franco,4,216,alto,seca,1420,no,alto,bajo,Zanahoria,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Coatepec,Capital,Cafe,siembra,19.3,80.7,26.2,69.7,24.4,5.7,56.54,franco_humifero,5,18,alto,seca,1250,no,alto,bajo,Cafe,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Coatepec,Capital,Tomate,siembra,19.3,80.7,26.2,69.7,24.4,5.7,56.54,franco,2,18,alto,seca,1250,no,alto,bajo,Tomate,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Coatepec,Capital,Lechuga,siembra,19.3,80.7,26.2,69.7,24.4,5.7,56.54,franco,1,18,alto,seca,1250,no,alto,bajo,Lechuga,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Coatepec,Capital,Papa,siembra,19.3,80.7,26.2,69.7,24.4,5.7,56.54,arenoso_franco,4,18,alto,seca,1250,no,alto,bajo,Papa,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Coatepec,Capital,Aguacate,siembra,19.3,80.7,26.2,69.7,24.4,5.7,56.54,franco,5,18,alto,seca,1250,no,alto,bajo,Aguacate,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Coatepec,Capital,Cilantro,siembra,19.3,80.7,26.2,69.7,24.4,5.7,56.54,franco,1,18,alto,seca,1250,no,alto,bajo,Cilantro,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Coatepec,Capital,Acelga,siembra,19.3,80.7,26.2,69.7,24.4,5.7,56.54,franco,2,18,alto,seca,1250,no,alto,bajo,Acelga,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Coatepec,Capital,Zanahoria,siembra,19.3,80.7,26.2,69.7,24.4,5.7,56.54,arenoso_franco,3,18,alto,seca,1250,no,alto,bajo,Zanahoria,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Coatepec,Capital,Cafe,siembra,17.8,72.1,30.6,22.3,29.0,4.3,45.0,franco_humifero,6,36,alto,seca,1250,no,alto,bajo,Cafe,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Coatepec,Capital,Tomate,siembra,17.8,72.1,30.6,22.3,29.0,4.3,45.0,franco,3,36,alto,seca,1250,no,alto,bajo,Tomate,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Coatepec,Capital,Lechuga,siembra,17.8,72.1,30.6,22.3,29.0,4.3,45.0,franco,2,36,alto,seca,1250,no,alto,bajo,Lechuga,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Coatepec,Capital,Papa,siembra,17.8,72.1,30.6,22.3,29.0,4.3,45.0,arenoso_franco,5,36,alto,seca,1250,no,alto,bajo,Papa,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Coatepec,Capital,Aguacate,siembra,17.8,72.1,30.6,22.3,29.0,4.3,45.0,franco,6,36,alto,seca,1250,no,alto,bajo,Aguacate,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Coatepec,Capital,Cilantro,siembra,17.8,72.1,30.6,22.3,29.0,4.3,45.0,franco,2,36,alto,seca,1250,no,alto,bajo,Cilantro,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Coatepec,Capital,Acelga,siembra,17.8,72.1,30.6,22.3,29.0,4.3,45.0,franco,3,36,alto,seca,1250,no,alto,bajo,Acelga,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Coatepec,Capital,Zanahoria,siembra,17.8,72.1,30.6,22.3,29.0,4.3,45.0,arenoso_franco,4,36,alto,seca,1250,no,alto,bajo,Zanahoria,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Coatepec,Capital,Cafe,crecimiento,21.8,80.1,12.1,37.5,22.6,5.1,50.53,franco_humifero,5,54,alto,seca,1250,no,alto,bajo,Cafe,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Coatepec,Capital,Tomate,crecimiento,21.8,80.1,12.1,37.5,22.6,5.1,50.53,franco,2,54,alto,seca,1250,no,alto,bajo,Tomate,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Coatepec,Capital,Lechuga,crecimiento,21.8,80.1,12.1,37.5,22.6,5.1,50.53,franco,1,54,alto,seca,1250,no,alto,bajo,Lechuga,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Coatepec,Capital,Papa,crecimiento,21.8,80.1,12.1,37.5,22.6,5.1,50.53,arenoso_franco,4,54,alto,seca,1250,no,alto,bajo,Papa,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Coatepec,Capital,Aguacate,crecimiento,21.8,80.1,12.1,37.5,22.6,5.1,50.53,franco,6,54,alto,seca,1250,no,alto,bajo,Aguacate,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Coatepec,Capital,Cilantro,crecimiento,21.8,80.1,12.1,37.5,22.6,5.1,50.53,franco,1,54,alto,seca,1250,no,alto,bajo,Cilantro,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Coatepec,Capital,Acelga,crecimiento,21.8,80.1,12.1,37.5,22.6,5.1,50.53,franco,2,54,alto,seca,1250,no,alto,bajo,Acelga,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Coatepec,Capital,Zanahoria,crecimiento,21.8,80.1,12.1,37.5,22.6,5.1,50.53,arenoso_franco,3,54,alto,seca,1250,no,alto,bajo,Zanahoria,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Coatepec,Capital,Cafe,crecimiento,22.6,78.8,26.6,54.6,8.5,10.5,53.16,franco_humifero,5,72,alto,seca,1250,si,alto,bajo,Cafe,alta,Regar por la manana y verificar humedad del suelo.
Coatepec,Capital,Tomate,crecimiento,22.6,78.8,26.6,54.6,8.5,10.5,53.16,franco,2,72,alto,seca,1250,no,alto,bajo,Tomate,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
